id,entityid,companyname,displayName,isinactive,subsidiary,subsidiaryId
3848,Dreamtex Intl,Dreamtex Intl,Dreamtex Intl,false,Patra Group : Opuzen,2
382,DS Michael LLC,DS Michael LLC,DS Michael LLC,false,Patra Group : Opuzen,2
383,Eastern Accents,Eastern Accents,Eastern Accents,false,Patra Group : Opuzen,2
384,EC Photography - Maria E Canale,EC Photography - Maria E Canale,EC Photography - Maria E Canale,false,Patra Group : Opuzen,2
550,Edgar Contract,Edgar Contract,Edgar Contract,false,Patra Group : Opuzen,2
4312,Edgar Fabrics,Edgar Fabrics,Edgar Fabrics,false,Patra Group : Opuzen,2
385,Edison Southern California,Edison Southern California,Edison Southern California,false,Patra Group : Opuzen,2
386,"Elite Textile, Inc",Elite Textile,Elite Textile,false,Patra Group : Opuzen,2
387,Elvin Fabrics,Elvin Fabrics,Elvin Fabrics,false,Patra Group : Opuzen,2
551,Enzo Degli Angiuoni,Enzo Degli Angiuoni,Enzo Degli Angiuoni,false,Patra Group : Opuzen,2
4330,Erica Scanderiato,Erica Scanderiato,Erica Scanderiato,false,Patra Group : Opuzen,2
388,Etoile .,Etoile .,Etoile .,false,Patra Group : Opuzen,2
389,Europatex,Europatex,Europatex,false,Patra Group : Opuzen,2
390,Exhibit Concepts,Exhibit Concepts,Exhibit Concepts,false,Patra Group : Opuzen,2
4313,Exotic Silks,Exotic Silks,Exotic Silks,false,Patra Group : Opuzen,2
391,Eye Dazzler,Eye Dazzler,Eye Dazzler,false,Patra Group : Opuzen,2
4314,F & S,F & S,F & S,false,Patra Group : Opuzen,2
392,F2 Resourcing Collaborative,F2 Resourcing Collaborative,F2 Resourcing Collaborative,false,Patra Group : Opuzen,2
393,Fabric Guru,Fabric Guru,Fabric Guru,false,Patra Group : Opuzen,2
4315,Fabrics N More,Fabrics N More,Fabrics N More,false,Patra Group : Opuzen,2
552,Fabricut,Fabricut,Fabricut,false,Patra Group : Opuzen,2
4316,Facotex,Facotex,Facotex,false,Patra Group : Opuzen,2
394,Farmers Insurance - Building,Farmers Insurance - Building,Farmers Insurance - Building,false,Patra Group : Opuzen,2
395,Fed Ex,Fed Ex,Fed Ex,false,Patra Group : Opuzen,2
120,Felicia A. French - Drawing,,Felicia A. French - Drawing,false,Patra Group : Opuzen,2
130,Felicia A. French - Reimbursement,,Felicia A. French - Reimbursement,false,Patra Group : Opuzen,2
553,Fibertex,Fibertex,Fibertex,false,Patra Group : Opuzen,2
3830,Fidertessile SPA,Fidertessile SPA,Fidertessile SPA,false,Patra Group : Opuzen,2
554,Finborough Fabrics Limited - USD,Finborough Fabrics Limited - USD,Finborough Fabrics Limited - USD,false,Patra Group : Opuzen,2
396,Fiorete,Fiorete,Fiorete,false,Patra Group : Opuzen,2
397,"Flooralytics, Inc","Flooralytics, Inc","Flooralytics, Inc",false,Patra Group : Opuzen,2
398,Folio3 Software Inc,Folio3 Software Inc,Folio3 Software Inc,false,Patra Group : Opuzen,2
399,Franchise Tax Board,Franchise Tax Board,Franchise Tax Board,false,Patra Group : Opuzen,2
400,Fusion Partners,Fusion Partners,Fusion Partners,false,Patra Group : Opuzen,2
402,G & J Forklift Inc.,G & J Forklift Inc.,G & J Forklift Inc.,false,Patra Group : Opuzen,2
403,G & M Fashion-Curtains and More,G & M Fashion-Curtains and More,G & M Fashion-Curtains and More,false,Patra Group : Opuzen,2
401,G-Tex,G-Tex,G-Tex,false,Patra Group : Opuzen,2
404,Gary's Knife Sharpening Service,Gary's Knife Sharpening Service,Gary's Knife Sharpening Service,false,Patra Group : Opuzen,2
405,Gas Station,Gas Station,Gas Station,false,Patra Group : Opuzen,2
592,Gebruder Munzert,Gebruder Munzert,Gebruder Munzert,false,Patra Group : Opuzen,2
4317,Giber S.P.A.,Giber S.P.A.,Giber S.P.A.,false,Patra Group : Opuzen,2
4318,Gio Emi Srl,Gio Emi Srl,Gio Emi Srl,false,Patra Group : Opuzen,2
