opms_vendor_id,opms_vendor_name,active,archived,netsuite_vendor_id,netsuite_vendor_name,status,,,
228,Ekart,Y,N,NULL,NULL,❌ No mapping,,,
229,Fairtex,Y,N,NULL,NULL,❌ No mapping,,,
230,Home Secrets,Y,N,NULL,NULL,❌ No mapping,,,
231,Tuvatextil,Y,N,NULL,NULL,❌ No mapping,,,
232,Huachen,Y,N,4417,NULL,❌ No mapping,,,
101,Schellens,Y,N,NULL,NULL,❌ No mapping,,,
234,Epic Textiles,Y,N,NULL,NULL,❌ No mapping,,,
235,Bradlee,Y,N,NULL,NULL,❌ No mapping,,,
237,Maxland,Y,N,NULL,NULL,❌ No mapping,,,
93,International Acetex,Y,N,NULL,NULL,❌ No mapping,,,
83,Al Fresco (Swavelle/Mill Creek Fabrics),Y,N,4481,NULL,❌ No mapping,,Updated OPMS name to Al Fresco,
240,Flocktex Industries Ltd. ,Y,N,NULL,NULL,❌ No mapping,,,
241,Videre,Y,N,NULL,NULL,❌ No mapping,,,
242,FabTex,Y,N,NULL,NULL,❌ No mapping,,,
243,Fashion Fabrics LA ,Y,N,NULL,NULL,❌ No mapping,,,
244,Nautolex,Y,N,NULL,NULL,❌ No mapping,,,
245,Topteks,Y,N,NULL,NULL,❌ No mapping,,,
246,Avant Garde,Y,N,4419,NULL,❌ No mapping,,,
247,Deitsch Plastic Co. Inc.,Y,N,NULL,NULL,❌ No mapping,,,
248,Tessutica,Y,N,NULL,NULL,❌ No mapping,,,
70,Illuminaire,Y,N,NULL,NULL,❌ No mapping,,,
61,"Texind, Inc.",Y,N,NULL,NULL,❌ No mapping,,,
251,Bella Home,Y,N,NULL,NULL,❌ No mapping,,,
48,Sunbury & Sunbrella,Y,N,3823,NULL,❌ No mapping,,Updated OPMS name to Sunbury Textile Mills,
253,Agora,Y,N,4408,NULL,❌ No mapping,,,
254,Signature Textiles,Y,N,4409,NULL,❌ No mapping,,,
32,Weave Corp.,Y,N,NULL,NULL,❌ No mapping,,,
24,Diamond Foam,Y,N,NULL,NULL,❌ No mapping,,,
21,MTL Global Ventures,Y,N,456,NULL,❌ No mapping,,,
258,Bart Halpern,Y,N,NULL,NULL,❌ No mapping,,,
19,Replin,Y,N,4421,NULL,❌ No mapping,,,
18,Richard Bernard,Y,N,NULL,NULL,❌ No mapping,,,
16,Andaru,Y,N,NULL,NULL,❌ No mapping,,,
262,DT Fabrics,Y,N,NULL,NULL,❌ No mapping,,,
264,Aaron Fabrics,Y,N,NULL,NULL,❌ No mapping,,,
265,Novalan,Y,N,4422,NULL,❌ No mapping,,,
266,KM Fabrics,Y,N,NULL,NULL,❌ No mapping,,,
14,Pickering International,Y,N,NULL,NULL,❌ No mapping,,,
268,Taka Fabrics,Y,N,4423,NULL,❌ No mapping,,,
7,Vervain,Y,N,NULL,NULL,❌ No mapping,,,
138,Miliken,Y,N,567,NULL,❌ No mapping,,Updated OPMS name to Miliken & Co,
175,Skai,Y,N,4424,NULL,❌ No mapping,,,
